topic	sentence_1	sentence_2	label
3d printing	3D Printed Products Can Improve Health Outcomes and Reduce Costs 7.1.4	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	NS
3d printing	This could greatly increase the quality of life of those currently living in less than ideal conditions.	The advent and spread of new technologies, like that of 3D printing can transform our lives in many ways.	DTORCD
3d printing	Controlled Print Chamber: Controlled process environment ensures true to CAD prints and delivers professional quality every time.	The new non-clog technology and moisture-lock cartridges ensure extended shelf life and total material usage, improving print quality and sustainability.	SS
3d printing	Spark will make visualization of prints much easier, as it streamlines digital information to 3D printers in a unique, efficient way.	The Cube Pro features a controlled environment print chamber that assures high-fidelity performance and delivers professional quality prints consistently and with the ease.	NS
3d printing	Affordable 3D Printing for everyone With the UP Mini 3D Printer costing less than $1300, 3D printing has become affordable for everyone.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	SS
3d printing	The ability for the printer to accept direct pellets of material, opens up the opportunity for new and innovative materials.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	NS
3d printing	"If the answer is ""No"", it is the ""extra cost"" or ""hidden cost"" that I can not afford."	Before using new drugs in people, some types of stem cells are useful to test the safety and quality of investigational drugs.	DTORCD
3d printing	It also enables Windows Store apps to submit 3D print jobs to these devices.	This technology could also offer consumers the chance to even customize the items they want to purchase in unique ways.	NS
3d printing	They succeeded, but they also believe that this affordable scanning technology could be used to provided periodic inspections of ongoing print jobs.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	NS
3d printing	Moisture-lock cartridge ensures extended shelf life and total material usage, improving print quality and sustainability.	It features great flexibility, superb surface quality, excellent dimensional stability, and comes in a single cartridge.	SS
3d printing	The technology could greatly improve energy storage in smartphones, electric cars, and wireless sensors.	Specifically, the Navy hopes to see 3D printing help improve readiness, allow for faster manufacturing, and reduce storage and shipping costs.	DTORCD
3d printing	3D printing helps to improve quality and speeds up the production.	3D printing service companies were also eager to engage with potential customers, showing high quality parts available for remote ordering online.	NS
3d printing	People in remote locations can fabricate objects that would otherwise be inaccessible to them.	The advent and spread of new technologies, like that of 3D printing can transform our lives in many ways.	SS
3d printing	As 3D printing becomes more affordable, more small businesses and inventors will be able to benefit from it.	Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
3d printing	The ability to manufacture a complex design in a short span with low setup costs makes 3D printing efficient in several applications.	The Cube Pro features a controlled environment print chamber that assures high-fidelity performance and delivers professional quality prints consistently and with the ease.	NS
3d printing	"""3D printing used to be out of reach for most businesses - but costs are coming down and materials technology has improved greatly."	Large size 3D printers will able to do printing of various miniatures to put in Showrooms as per the custom needs of businesses.	NS
3d printing	Now it turns out the ZFSSA is an excellent storage device for Cloud services.	With all the rhetoric about reducing public spending and economic disparity, a basic income would help achieve both goals.	DTORCD
3d printing	Large size 3D printers will able to do printing of various miniatures to put in Showrooms as per the custom needs of businesses.	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	NS
3d printing	3D printing helps to improve quality and speeds up the production.	Moisture-lock cartridge ensures extended shelf life and total material usage, improving print quality and sustainability.	NS
3d printing	(Photo: Business Wire)Each store features an immersive 3D printing experience center that lets consumers and small businesses create personalized products and use 3D printing hardware.	"The Experience Centre, combined with our new Staples Easy 3D online service, will provide everyone access to lifelike, photorealistic 3D printed products at an affordable price."""	SS
3d printing	With 3D printing, designers have the ability to quickly turn concepts into 3D models or prototypes (aka rapid prototyping), and implement rapid design changes.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	SS
3d printing	They succeeded, but they also believe that this affordable scanning technology could be used to provided periodic inspections of ongoing print jobs.	Groenendyk and Gallant also observed that offering the 3D printing service through a full service model was limiting their users' ability to effectively use the technology.	NS
3d printing	As 3D printing becomes more affordable, more small businesses and inventors will be able to benefit from it.	3D printing technology is thus offering individuals as well as companies with the ability to design as well as manufacture objects at relatively lower costs.	SS
